total_trades,trade_count_long,trade_count_short,profit_total,profit_total_abs,cagr,sharpe,sortino,calmar,sqn,profit_factor,expectancy,expectancy_ratio,winrate,wins,losses,draws,max_drawdown_account,max_drawdown_abs,market_change,starting_balance,final_balance,trades_per_day,strategy_id,source
5944,5944,0,-0.44039886031,-440.39886031,-0.14329960431,-1.62381876887,-1.48055156997,-0.889860888522,-1.5102,0.920074904526,-0.0740913291235,-0.032620841457,0.591857335128,3518,2426,0,0.690160234438,1175.62788053,,1000,559.60113969,4.33868613139,BinHV27,baseline
5134,5134,0,-0.9637120818,-963.7120818,-0.586679476709,-1.26165645885,-1.18257115072,-1.36055220791,-1.2625,0.912881820065,-0.187711741683,-0.0348031529114,0.600506427737,3083,2051,0,0.987774834096,2349.38592177,,1000,36.2879182,3.74744525547,BinHV27F,baseline
1296,759,537,-0.2511106048,-251.1106048,-0.0741472159564,-1.26672907314,-1.14643814759,-1.24921963879,-2.5222,0.801451362042,-0.193758182716,-0.0816561913825,0.588734567901,763,533,0,0.28031872944,285.10077325,,1000,748.8893952,0.94598540146,BinHV27_combined,baseline
2395,0,2395,-0.29823415927,-298.23415927,-0.0900405992235,-1.2287015282,-1.51332525249,-1.22857717416,-1.8,0.88001107149,-0.124523657315,-0.0725444544815,0.395407098121,947,1448,0,0.338517253137,358.38895799,,1000,701.76584073,1.74817518248,BinHV27_short,baseline
6071,6071,0,-0.61940323318,-619.40323318,-0.226917038167,-3.44391660777,-2.61966323746,-1.1718881848,-3.1693,0.842149457661,-0.102026557928,-0.0558756078877,0.646022072146,3922,2149,0,0.737077505527,1011.73541465,,1000,380.59676682,4.43138686131,BinHV27_werkkrew,baseline
124,124,0,-0.00933477563,-9.33477563,-0.00249556370802,-0.0258527593329,-0.0337928385352,-0.151295209394,-0.1658,0.958151363735,-0.075280448629,-0.0246366971559,0.411290322581,51,73,0,0.0860408262086,90.43102899,,1000,990.66522437,0.0905109489051,BinMfiBTCv5003,baseline
8619,8619,0,-0.87008633327,-870.08633327,-0.419426850505,-10.3840001201,-6.50708969639,-1.39345764688,-8.0202,0.438032749859,-0.10094980082,-0.199913890031,0.64462234598,5556,3059,4,0.870751916472,875.00442968,,1000,129.91366673,6.29124087591,BollingerBandStrategy,baseline
958,958,0,0.37080290574,370.80290574,0.0876604674401,0.412447278507,0.251043419709,1.2265512597,0.9551,1.13874133814,0.387059400564,0.0304130281945,0.780793319415,748,210,0,0.421583195141,779.59254504,,1000,1370.80290574,0.699270072993,BollingerBounce,baseline
5961,5961,0,-0.43439844939,-434.39844939,-0.140861777825,-5.35747361142,-5.13134282618,-1.29407545964,-4.9755,0.797606990973,-0.0728734187871,-0.0906201880713,0.55225633283,3292,2669,0,0.468117125902,497.09177939,,1000,565.60155061,4.35109489051,BollingerBounceStrategy,baseline
792,0,792,-0.42248881068,-422.48881068,-0.136078818709,-0.673478100635,-0.549867197722,-1.19607037871,-1.715,0.819397658554,-0.53344546803,-0.048799117512,0.729797979798,578,214,0,0.492588582773,508.94181296,,1000,577.51118932,0.578102189781,BollingerBounce_Shorts,baseline
1376,1376,0,-0.0517584052,-51.7584052,-0.014059553941,-0.166602734505,-1.22635080382,-0.309371355816,-0.322,0.971254496132,-0.0376151200581,-0.00296646914922,0.896802325581,1234,142,0,0.233306399068,261.06943352,,1000,948.2415948,1.00437956204,BuyOnly,baseline
